학교ID,학교명,위도,경도,소재지도로명주소,학교급구분,설립형태,데이터기준일자,source_url,id_method,current_students,capacity,coordinate_status,coordinate_source,gu
B000012291,가좌고등학교,37.48964618,126.6809096,인천광역시 서구 장고개로287번길 24,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000012292,검단고등학교,37.60386225,126.6647414,인천광역시 서구 검단로540번길 7,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000012293,인천원당고등학교,37.59689277,126.7048226,인천광역시 서구 고산로40번길 30,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000012294,대인고등학교,37.55802602,126.6786094,인천광역시 서구 서곶로 446,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000012295,서인천고등학교,37.56108344,126.675771,인천광역시 서구 서곶로 475,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000012296,강화고등학교,37.74802846,126.4738138,인천광역시 강화군 강화읍 고비고개로 20,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,강화군
B000012297,강화여자고등학교,37.75388637,126.4795303,인천광역시 강화군 강화읍 송악길 58,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,강화군
B000012298,교동고등학교,37.77846268,126.2843169,인천광역시 강화군 교동면 교동남로 77,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,강화군
B000012299,서도고등학교,37.64803766,126.2524746,인천광역시 강화군 서도면 주문도길 173,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,강화군
B000012300,덕신고등학교,37.74487949,126.472799,인천광역시 강화군 강화읍 고비고개로 45,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,강화군
B000012301,한국글로벌셰프고등학교,37.71179563,126.39281,인천광역시 강화군 내가면 강화서로 184,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,강화군
B000012302,인천영흥고등학교,37.26521102,126.4794201,인천광역시 옹진군 영흥면 내동로 107,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,옹진군
B000012303,연평고등학교,37.66412851,125.7010233,인천광역시 옹진군 연평면 연평로137번길 101,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,옹진군
B000012304,대청고등학교,37.8325852,124.6939792,인천광역시 옹진군 대청면 대청로244번길 116-45,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,옹진군
B000012305,덕적고등학교,37.22538058,126.1481953,인천광역시 옹진군 덕적면 덕적남로 15,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,옹진군
B000013521,인천공항고등학교,37.49763102,126.485927,인천광역시 중구 신도시북로 20,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000013522,인천하늘고등학교,37.49546571,126.5070803,인천광역시 중구 영종대로277번길 117,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000013523,동인천고등학교,37.46583064,126.7352326,인천광역시 남동구 만수로75번길 71-15,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000013524,인천예일고등학교,37.55422032,126.7418712,인천광역시 계양구 박촌로 23,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000013525,인천신현고등학교,37.52034052,126.6678412,인천광역시 서구 염곡로 399,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000022827,인천대중예술고등학교,37.47099649,126.6548626,인천광역시 미추홀구 석정로 165,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
B000022835,인천해원고등학교,37.52816764,126.6275858,인천광역시 서구 청라사파이어로140번길 25,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000022837,인천체육고등학교,37.54592504,126.6094512,인천광역시 서구 로봇랜드로 473,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000022846,백령고등학교,37.96441431,124.6760478,인천광역시 옹진군 백령면 백령로 708,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,옹진군
B000023258,인천전자마이스터고등학교,37.47099649,126.6548626,인천광역시 미추홀구 석정로 165,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
B000024855,문곡고등학교,37.58843573,126.669663,인천광역시 서구 청마로 52,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000025205,도림고등학교,37.42077753,126.752981,인천광역시 남동구 서창남로 8,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000025211,인천연송고등학교,37.40316747,126.6467361,인천광역시 연수구 컨벤시아대로42번길 72,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000025212,인천포스코고등학교,37.40146601,126.6483623,인천광역시 연수구 컨벤시아대로42번길 50,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000025229,박문여자고등학교,37.38275068,126.6662372,인천광역시 연수구 송도과학로51번길 16,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000025234,인천과학예술영재학교,37.38199933,126.6301396,인천광역시 연수구 아카데미로 192,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000025678,인천영종고등학교,37.48531899,126.5016825,인천광역시 중구 영종대로278번길 34,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000025679,인천운남고등학교,37.48314685,126.5419036,,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,
B000025680,인천중산고등학교,37.49775057,126.5699379,인천광역시 중구 은하수로 142,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
