학교ID,학교명,year,students,special_class_students,source_url,reference_period
KLOCAL-f1560b9f1d29c37d,인천연학초등학교병설유치원,2026,30,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-1ddb144d8df27d87,인천영종초등학교병설유치원,2026,48,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-f49918d712180a3b,인천용유초등학교병설유치원,2026,4,4,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-dbac808d955ed351,인천용일초등학교병설유치원,2026,6,4,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-835ca4886f808119,인천용정초등학교병설유치원,2026,11,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-72edaafd1436ee88,인천용학초등학교병설유치원,2026,64,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-03906654ce1dfdb4,인천용현남초등학교자월분교장병설유치원,2026,2,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-33f5b9ae439b5105,인천윤슬초등학교병설유치원,2026,43,3,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-1be9ec6cbd10709a,인천주안초등학교병설유치원,2026,29,4,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-b28bba23e63bc43f,인천중산초등학교병설유치원,2026,84,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-34cd4a3c1e5df434,인천창영초등학교병설유치원,2026,4,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-3caa8d6f764b16f7,인천하늘초등학교병설유치원,2026,47,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-78df8739d8df4799,인천학익초등학교병설유치원,2026,9,4,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-89a34f512aff0b8a,자유유치원,2026,89,30,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-7f0082a29bbc1873,재능대학교부속유치원,2026,163,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-b3e79d50babb2a89,지영유치원,2026,63,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-860b4fda06d66205,진흥유치원,2026,96,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
KLOCAL-59488b5f10bd36dd,참빛유치원,2026,66,0,https://e-childschoolinfo.moe.go.kr/,2026년 1차 공시
