학교ID,학교명,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,selected_model,model_version,validation_scheme
B000002954,인천용유초등학교,33,17,9,17,9,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002978,인천도화초등학교,843,681,607,681,607,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003043,인천개흥초등학교,316,226,186,226,186,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003090,인천약산초등학교,587,508,469,508,469,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003146,인천봉수초등학교,1216,1520,1649,1520,1649,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003084,인천은봉초등학교,362,252,194,252,194,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003174,양도초등학교,52,38,30,38,30,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025193,인천만월초등학교,1019,623,430,623,430,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025226,인천송일초등학교,980,857,791,857,791,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003014,인천진산초등학교,207,71,30,71,30,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002972,인천용정초등학교,214,191,175,191,175,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003070,인천남촌초등학교,309,180,117,180,117,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003115,인천신대초등학교,529,307,204,307,204,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002958,인천삼목초등학교,481,351,273,351,273,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003011,인천갈산초등학교,190,108,64,108,64,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003156,인천왕길초등학교,490,323,245,323,245,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003093,인천석천초등학교,982,849,779,849,779,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002966,인천송림초등학교,434,488,511,488,511,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003036,인천신촌초등학교,328,311,302,311,302,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003028,인천부흥초등학교,1016,975,948,975,948,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002971,인천숭의초등학교,1154,1083,1038,1083,1038,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003029,인천부평동초등학교,831,704,629,704,629,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026468,인천아람초등학교,907,1197,1238,1197,1238,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025690,인천별빛초등학교,1359,1453,1327,1453,1327,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003038,인천십정초등학교,179,100,53,100,53,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003117,인천병방초등학교,290,137,82,137,82,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002994,대청초등학교,16,4,2,4,2,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
