관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis
28245-00060,귤현2공원,어린이공원,37.566854,126.749699,1507.0,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00059,귤현1공원,어린이공원,37.568514,126.750446,1508.1,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00058,도두머리공원,근린공원,37.527673,126.745215,12365.0,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00057,귤현공원,근린공원,37.567293,126.747116,33.003,계양구,근린공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28245-00055,상야공원,어린이공원,37.580616,126.778864,1500.5,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28245-00054,장성제공원,근린공원,37.529492,126.74813,20527.9,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00053,장두못공원,근린공원,37.529493,126.74813,25236.3,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28200-00101,소촌공원,어린이공원,37.43043644,126.7151643,524.0,남동구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음"
28110-00003,박석공원,근린공원,37.49473516,126.5637807,352000.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28110-00002,은골공원,근린공원,37.49639537,126.4917102,392000.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28110-00001,씨사이드파크,근린공원,37.481753,126.5658118,1774603.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00012,랜드마크시티 1호 수변공원,수변공원,37.41225764,126.6101271,77873.0,연수구,수변공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00011,랜드마크시티 3호 수변공원,수변공원,37.38350683,126.6182251,60158.0,연수구,수변공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00010,랜드마크시티3호 근린공원,근린공원,37.40830622,126.6208503,57723.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00008,글로벌파크,근린공원,37.37627624,126.6594134,194746.9,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00007,솔찬공원,근린공원,37.36667165,126.6385425,197430.95,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00006,달빛공원,근린공원,37.39543995,126.6593123,1033030.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
