학교ID,학교명,nearest_park_name,nearest_park_dist_m,nearest_park_lat,nearest_park_lon
B000003101,인천인동초등학교,한울소공원_37.463_126.719,215.9,37.46337665,126.7191906
B000003102,인천장수초등학교,새골공원_37.450_126.740,602.6,37.45042788,126.7398942
B000003103,인천담방초등학교,골마루공원_37.439_126.736,21.6,37.43927377,126.7362519
B000003104,인천남동초등학교,남동공원_37.445_126.738,36.5,37.44459647,126.7379915
B000003105,인천서창초등학교,걸재공원_37.433_126.752,278.9,37.43330912,126.7518561
B000003106,경인교육대학교부설초등학교,이촌공원_37.536_126.712,53.9,37.536246,126.712058
B000003107,인천효성동초등학교,꿈나무공원_37.530_126.712,691.3,37.529688,126.711728
B000003108,인천효성남초등학교,효성공원_37.527_126.716,121.0,37.526738,126.715671
B000003109,인천효성초등학교,이촌근린공원,76.0,37.536246,126.712058
B000003110,인천해서초등학교,고향골공원_37.541_126.720,268.2,37.540569,126.719511
B000003111,인천안남초등학교,개나리공원,496.0,37.538514,126.732612
B000003112,인천성지초등학교,효성공원,376.0,37.526738,126.715671
B000003113,인천화전초등학교,이름없는공원,400.0,37.529764,126.729214
B000003114,인천서운초등학교,도두머리공원,60.0,37.527673,126.745215
B000003115,인천신대초등학교,계양어린이교통공원,148.0,37.537515,126.739268
B000003116,인천길주초등학교,용종5공원_37.543_126.743,69.6,37.5429066687,126.7428221178
B000003117,인천병방초등학교,낙원공원_37.546_126.738,291.1,37.546462,126.737528
B000003118,인천양촌초등학교,양촌공원,216.0,37.548758,126.745885
B000003119,인천소양초등학교,소양공원_37.558_126.742,244.0,37.558197,126.741599
B000003120,인천당산초등학교,동양택지2공원_37.559_126.758,433.0,37.558658,126.758387
B000003121,인천귤현초등학교,귤현공원_37.567_126.747,134.7,37.567293,126.747116
B000003122,인천계양초등학교,중앙공원_37.578_126.734,161.3,37.577607,126.734374
B000003123,인천계산초등학교,고향골어린이공원,444.0,,
B000003124,인천안산초등학교,임학공원_37.548_126.733,722.9,37.548389,126.733413
B000003125,인천부평초등학교,계산1호공원_37.543_126.724,144.2,37.542757,126.723728
B000003126,인천부현초등학교,계산4공원,327.0,37.537914,126.733553
B000003127,인천부현동초등학교,계양교통공원_37.537_126.742,285.4,37.537198,126.741863
B000003128,인천작전초등학교,된밭공원,267.0,37.533039,126.728486
B000003129,인천작동초등학교,도두리공원,437.0,37.53136,126.738459
B000003130,인천명현초등학교,꿈나무어린이공원,343.0,37.529688,126.711728
B000003131,인천효성서초등학교,새벌공원,478.0,37.530225,126.698672
B000003132,인천계양초등학교상야분교장,상야공원_37.581_126.779,342.8,37.580616,126.778864
B000003133,인천해원초등학교,흰여울공원_37.528_126.627,117.1,37.5279411,126.6267344
B000003134,인천경명초등학교,물병자리공원_37.538_126.643,1137.0,37.53836207,126.6427153
B000003135,인천공촌초등학교,서곶공원_37.547_126.681,248.8,37.54710428,126.6810847
B000003137,인천간재울초등학교,검암소공원_37.560_126.675,303.1,37.5597432,126.6754821
B000003138,인천경서초등학교,경서2구역2호어린이공원,140.0,37.55655153,126.6537471
B000003139,인천청라초등학교,청라뜰공원,146.0,37.5406974,126.6554122
B000003140,인천초은초등학교,거울어린이공원_37.528_126.655,96.3,37.5281894,126.6548912
B000003141,인천양지초등학교,용두공원_37.541_126.672,230.3,37.54124079,126.6718078
B000003142,인천심곡초등학교,절골공원_37.543_126.683,163.0,37.5427482,126.6825351
B000003143,인천신석초등학교,원신공원_37.516_126.663,664.8,37.51562511,126.6632612
B000003144,인천석남초등학교,석남공원_37.501_126.678,1010.3,37.50090652,126.6779763
B000003145,인천천마초등학교,석남공원_37.501_126.678,602.7,37.50090652,126.6779763
B000003146,인천봉수초등학교,루윈시티5호어린이공원,65.0,37.5286323,126.6750786
B000003147,인천신현북초등학교,원신근린공원,212.0,37.51562511,126.6632612
B000003148,인천가림초등학교,진주체육공원,15.0,37.48863024,126.6812545
B000003149,인천봉화초등학교,감중공원_37.493_126.674,608.2,37.49314463,126.6737637
B000003150,인천건지초등학교,건지공원,129.0,37.49399764,126.6794013
