학교ID,학교명,gu,iso_child_total,target_2029,target_2031,predicted_2029,predicted_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,is_new_school
B000003126,인천부현초등학교,계양구,799,449.14088625400024,309.49251961881447,449.17133,309.28647,0.5621287687784734,0.3873498368195425,0
B000003127,인천부현동초등학교,계양구,634,356.38963940555215,245.57979654358994,356.2869,245.7895,0.5621287687784734,0.3873498368195425,0
B000003128,인천작전초등학교,계양구,550,309.1708228281604,213.04241025074836,309.161,212.55096,0.5621287687784734,0.3873498368195425,0
B000003129,인천작동초등학교,계양구,828,465.442620548576,320.72566488658117,465.351,320.46094,0.5621287687784734,0.3873498368195425,0
B000003130,인천명현초등학교,계양구,865,486.2413849933795,335.05760884890424,486.23798,335.6242,0.5621287687784734,0.3873498368195425,0
B000003131,인천효성서초등학교,계양구,198,111.30149621813773,76.69526769026942,111.40014,76.647865,0.5621287687784734,0.3873498368195425,0
B000003132,인천계양초등학교상야분교장,계양구,3,1.6863863063354203,1.1620495104586275,1.6067684,1.0775503,0.5621287687784734,0.3873498368195425,0
B000003133,인천해원초등학교,서구,642,681.0418045619919,695.5024963327331,680.96497,695.55493,1.060812779691576,1.0833372217020765,0
B000003134,인천경명초등학교,서구,223,236.56124987122146,241.58420043956306,236.96735,241.76952,1.060812779691576,1.0833372217020765,0
B000003135,인천공촌초등학교,서구,133,141.08809969897962,144.08385048637618,141.24178,144.09943,1.060812779691576,1.0833372217020765,0
B000003137,인천간재울초등학교,서구,229,242.9261265493709,248.08422376977552,243.36462,248.13031,1.060812779691576,1.0833372217020765,0
B000003138,인천경서초등학교,서구,174,184.58142366633425,188.5006765761613,184.26595,188.383,1.060812779691576,1.0833372217020765,0
B000003139,인천청라초등학교,서구,498,528.2847642864049,539.501936407634,528.44257,539.7981,1.060812779691576,1.0833372217020765,0
B000003140,인천초은초등학교,서구,404,428.56836299539674,437.66823756763887,428.5312,437.6779,1.060812779691576,1.0833372217020765,0
B000003141,인천양지초등학교,서구,148,157.00029139435327,160.33390881190732,157.36792,161.0706,1.060812779691576,1.0833372217020765,0
B000003142,인천심곡초등학교,서구,205,217.4666198367731,222.08413044892566,216.90623,221.74663,1.060812779691576,1.0833372217020765,0
B000003143,인천신석초등학교,서구,301,319.3046466871644,326.084503732325,319.8959,326.25653,1.060812779691576,1.0833372217020765,0
B000003144,인천석남초등학교,서구,167,177.15573420849321,180.91731602424676,177.19415,180.94539,1.060812779691576,1.0833372217020765,0
B000003145,인천천마초등학교,서구,114,120.93265688483967,123.50044327403671,121.201096,123.99883,1.060812779691576,1.0833372217020765,0
B000003146,인천봉수초등학교,서구,1087,1153.1034915247433,1177.5875599901572,1153.1101,1177.4264,1.060812779691576,1.0833372217020765,0
B000003147,인천신현북초등학교,서구,789,836.9812831766535,854.7530679229384,837.12286,854.61096,1.060812779691576,1.0833372217020765,0
B000003148,인천가림초등학교,서구,496,526.1631387270218,537.33526196423,526.39984,537.70557,1.060812779691576,1.0833372217020765,0
B000003149,인천봉화초등학교,서구,313,332.0344000434633,339.0845503927499,331.21558,338.69263,1.060812779691576,1.0833372217020765,0
B000003150,인천건지초등학교,서구,382,405.23048184218203,413.83481869019323,405.26337,413.6504,1.060812779691576,1.0833372217020765,0
B000003151,인천능내초등학교,서구,272,288.5410760761087,294.6677243029648,288.5984,294.9439,1.060812779691576,1.0833372217020765,0
B000003152,인천검단초등학교,서구,145,153.81785305527853,157.0838971468011,154.00557,157.208,1.060812779691576,1.0833372217020765,0
B000003153,인천완정초등학교,서구,603,639.6701061540203,653.2523446863521,639.6589,653.1081,1.060812779691576,1.0833372217020765,0
B000003154,인천불로초등학교,서구,449,476.30493808151766,486.41841254423235,476.2475,486.08023,1.060812779691576,1.0833372217020765,0
B000003155,인천목향초등학교,서구,177,187.76386200540895,191.75068824126754,188.06422,192.17816,1.060812779691576,1.0833372217020765,0
B000003156,인천왕길초등학교,서구,382,405.23048184218203,413.83481869019323,404.89462,413.9768,1.060812779691576,1.0833372217020765,0
B000003157,인천단봉초등학교,서구,146,154.8786658349701,158.16723436850316,154.79948,158.18777,1.060812779691576,1.0833372217020765,0
B000003158,인천원당초등학교,서구,61,64.70957956118615,66.08357052382667,65.10299,66.47762,1.060812779691576,1.0833372217020765,0
B000003159,인천발산초등학교,서구,580,615.2714122211141,628.3355885872044,615.01227,628.0573,1.060812779691576,1.0833372217020765,0
B000003160,인천창신초등학교,서구,224,237.62206265091305,242.66753766126513,237.84023,242.58214,1.060812779691576,1.0833372217020765,0
B000003161,인천금곡초등학교,서구,283,300.21001665271604,306.58443374168763,300.19336,306.8545,1.060812779691576,1.0833372217020765,0
B000003162,인천가석초등학교,서구,171,181.3989853272595,185.25066491105508,181.45892,185.23657,1.060812779691576,1.0833372217020765,0
B000003163,인천가좌초등학교,서구,507,537.832079303629,549.2519714029528,537.82733,549.09875,1.060812779691576,1.0833372217020765,0
