관리번호,공원명,공원구분,위도,경도,공원면적,gu,nearest_school,nearest_school_dist_m
28185-00026,백제우물공원,어린이공원,37.42642193,126.670127,1500.0,연수구,인천함박초등학교,677.09
28185-00025,샘말공원,어린이공원,37.41449139,126.6807996,2625.1,연수구,인천연화초등학교,322.95
28185-00024,늘봄공원,어린이공원,37.41319988,126.6785372,2456.4,연수구,인천연화초등학교,307.75
28185-00023,일단지공원,어린이공원,37.42014247,126.6783403,1659.5,연수구,인천문남초등학교,126.59
28200-00147,무지개공원,어린이공원,37.44473057,126.7153655,1892.0,남동구,인천만월초등학교,324.81
28200-00146,성리공원,어린이공원,37.44381983,126.7095181,1505.0,남동구,인천성리초등학교,215.82
28200-00145,찬우물공원,근린공원,37.4425783,126.7175748,18682.0,남동구,인천만월초등학교,200.93
28200-00144,아시아드선수촌공원,근린공원,37.439662,126.710389,71387.0,남동구,인천만월초등학교,512.74
28200-00143,전재울공원,근린공원,37.44707758,126.7156897,122963.0,남동구,인천구월초등학교,526.96
28200-00142,벌터고개공원,어린이공원,37.46580798,126.6972037,1826.0,남동구,인천석정초등학교,190.92
28200-00141,주원공원,어린이공원,37.46732404,126.701744,1924.0,남동구,인천주원초등학교,267.42
28200-00140,갯골3호수변공원,수변공원,37.42496444,126.7440878,29051.0,남동구,인천한빛초등학교,85.49
28200-00139,갯골2호수변공원,수변공원,37.42528943,126.7421829,7233.0,남동구,인천한빛초등학교,211.22
28200-00138,물바람수변공원,수변공원,37.42728782,126.7494507,8693.0,남동구,인천장서초등학교,423.03
28200-00137,갯골1호수변공원,수변공원,37.42255411,126.745896,9031.0,남동구,인천한빛초등학교,239.71
28200-00136,물빛공원,근린공원,37.42150292,126.7472921,45700.0,남동구,인천한빛초등학교,409.1
28200-00135,어울공원,근린공원,37.42759079,126.7461074,42487.0,남동구,인천장서초등학교,193.15
28200-00134,메아리공원,어린이공원,37.4293702,126.759199,1912.0,남동구,인천장아초등학교,726.99
28200-00133,하얀공원,어린이공원,37.41907805,126.7509852,1774.0,남동구,인천장아초등학교,648.84
28200-00132,오름공원,어린이공원,37.42547207,126.7523905,2550.0,남동구,인천장아초등학교,156.86
28200-00131,누리공원,어린이공원,37.42249036,126.7414277,1602.0,남동구,인천한빛초등학교,305.35
28200-00130,숲속공원,어린이공원,37.42981317,126.7507746,2625.0,남동구,인천장서초등학교,486.59
28200-00129,흰여울공원,어린이공원,37.42986416,126.744066,1587.0,남동구,인천장서초등학교,132.84
28200-00128,운연공원,어린이공원,37.43881917,126.7599709,2100.0,남동구,인천서창초등학교,933.0
28200-00127,풀무골소공원,소공원,37.4643861,126.7049848,3186.0,남동구,상인천초등학교,315.64
28200-00126,나루소공원,소공원,37.39910374,126.7341058,6446.0,남동구,인천원동초등학교,377.81
28200-00125,고잔,어린이공원,37.3952553,126.7243023,1550.0,남동구,인천송천초등학교,148.03
28200-00124,한울소공원,소공원,37.46337665,126.7191906,788.0,남동구,인천인동초등학교,314.11
28200-00123,양지말소공원,소공원,37.46464672,126.7193036,788.0,남동구,인천인동초등학교,370.79
28200-00154,네모소공원,소공원,37.4699114,126.712227,246.0,남동구,인천약산초등학교,298.72
28200-00153,새말소공원,소공원,37.4660635954,126.7205739743,4191.0,남동구,인천인동초등학교,425.93
28200-00152,석촌공원,근린공원,37.47177154,126.7103718,52723.0,남동구,인천동암초등학교,319.95
28200-00151,만의골공원,소공원,37.459241,126.773141,437.0,남동구,인천장수초등학교,2956.24
28200-00150,연락골소공원,소공원,37.44353394,126.7676514,2064.0,남동구,인천서창초등학교,1770.04
28200-00148,구월소공원,소공원,37.44708759,126.7121549,1525.0,남동구,인천성리초등학교,247.65
28200-00003,구월공원,어린이공원,37.45891399,126.7183317,3194.0,남동구,인천간석초등학교,258.13
28200-00002,논현공원,어린이공원,37.408628,126.721616,1711.0,남동구,인천은봉초등학교,477.3
28200-00001,고잔공원,근린공원,37.38663185,126.7047433,167766.0,남동구,인천사리울초등학교,1682.78
28200-00027,월례공원,근린공원,37.40676501,126.6894304,108700.0,남동구,인천연화초등학교,892.5
28200-00026,만수공원,근린공원,37.457907865,126.7363877533,12528.0,남동구,인천새말초등학교,312.09
28200-00025,둥지공원,어린이공원,37.45826887,126.7347245,2400.0,남동구,인천새말초등학교,192.79
28200-00024,아단공원,어린이공원,37.45606528,126.7328485,4764.0,남동구,인천인수초등학교,319.5
28200-00023,이화공원,어린이공원,37.46291227,126.7033636,6978.0,남동구,인천주원초등학교,360.74
28200-00022,양지공원,어린이공원,37.4665085,126.7062617,1280.0,남동구,인천약산초등학교,376.75
28200-00021,인수공원,어린이공원,37.45334737,126.7378312,1816.0,남동구,인천인수초등학교,223.75
28200-00020,석정공원,어린이공원,37.46799875,126.6971154,1941.0,남동구,인천석정초등학교,157.82
28200-00019,애향공원,어린이공원,37.4664334,126.713414,697.0,남동구,인천약산초등학교,316.88
28200-00018,동일공원,어린이공원,37.4555575,126.6984799,479.0,남동구,인천구월서초등학교,414.7
28200-00017,하촌공원,어린이공원,37.45136932,126.7329376,1499.0,남동구,인천인수초등학교,377.37
28200-00016,작은구월공원,어린이공원,37.4495274,126.7211378,1499.0,남동구,인천신월초등학교,265.67
